accessories,accommodation,alcohol,audio_equipment,beverages,books,cameras,car_rentals,clothing,coffee_shops,dairy_products,desktops,electronics,fast_food,food_delivery,fruits,groceries,gym_memberships,jewelry,laptops,magazines,meat,movies,music,outdoor_activities,public_transportation,restaurant_meals,seafood,shoes,smartphones,snacks,software,sports_equipment,streaming_services,tablets,travel,vegetables,video_games,watches,income
37.77,65.4,57.24,89.89,86.78,31.65,60.86,50.38,63.59,57.16,144.09,59.81,150.72,114.95,86.22,113.74,173.15,49.17,26.36,89.79,33.49,144.48,51.55,49.83,51.06,49.37,114.61,115.6,50.46,118.77,86.57,58.63,31.49,67.95,90.87,66.17,115.16,119.35,24.97,801.98
17.82,33.74,11.46,32.92,19.06,18.41,21.04,23.5,25.48,10.99,31.43,20.6,55.6,26.58,19.95,24.66,38.52,26.2,12.02,33.92,17.27,31.27,25.36,26.75,24.12,24.48,24.97,25.94,21.03,43.54,18.94,21.77,16.22,34.14,30.36,33.76,25.52,43.96,10.11,299.5
29.48,56.07,49.15,79.19,72.6,28.24,52.2,39.9,51.15,49.25,122.41,51.34,129.3,98.36,71.4,96.99,148.15,41.36,20.06,78.95,27.05,121.78,40.97,41.98,42.05,40.78,97.22,98.54,40.05,105.94,74.44,50.41,25.45,55.22,78.72,54.23,97.86,105.65,20.67,681.94
28.29,41.8,25.88,124.63,41.91,21.89,81.25,31.99,47.22,30.41,66.41,82.15,205.36,53.49,41.64,54.42,83.01,31.29,18.96,121.89,21.43,68.18,31.72,31.37,32.27,31.56,51.67,54.59,38.83,163.01,40.49,81.95,19.81,41.15,123.07,41.29,54.8,162.4,17.93,942.48
44.08,98.75,13.02,46.03,21.3,49.77,29.5,76.05,72.13,12.24,34.87,31.31,80.27,26.8,21.66,26.28,40.42,75.09,28.8,48.22,51.03,35.46,74.12,74.48,74.68,74.87,27.8,27.32,57.87,62.81,21.68,32.87,49.32,97.46,47.48,99.14,27.32,62.51,28.81,516.04
44.41,67.13,4.92,130.65,6.89,32.41,87,48.93,74.56,4.77,10.72,87.72,214.14,8.93,7.66,10.11,15.16,48.89,30.15,131.04,32.73,12.95,49.68,49.39,49.02,50.2,9.36,8.49,58.37,172.85,6.3,87.89,33.91,66.23,128.61,67.92,10.11,172.2,28.95,1026.5
25.65,32.35,33.33,119.88,48.25,17.71,79.66,24.53,47.77,32.79,79.58,79.9,197.84,64.58,49.77,64.94,97.16,24.69,16.55,120.79,15.79,82.75,24.21,24.67,23.65,24.29,65.96,65.54,37.77,159.79,47.88,79.59,16.45,33.75,117.07,33.27,63.9,159.86,17.7,916.39
16.64,83.6,42.6,144.05,66.38,42.58,94.08,61.62,26.54,43.98,108.04,95.4,238.57,85.56,65,86.05,129.49,63.8,9.87,144.38,42.39,109.83,65.61,63.62,63.82,64.48,85.72,85.29,19.5,191.31,62.94,94.54,40.67,83.54,144.62,84.76,87.16,190.99,11.11,1111.1
21.62,67.57,45.41,138.99,68.6,34.12,93.09,50.19,36.11,43.03,110.51,92.08,229.63,87.91,66.4,91.83,134.05,51.82,14.25,136.66,33.43,113.29,52.19,51.43,50.97,49.59,88.57,90.08,29.61,184.36,66.91,92.52,33.22,67.54,136.65,67.9,89.75,184.02,15.8,1076.34
39.99,59.89,60.32,39.63,90.07,28.9,25.55,44.91,68.44,58.9,150.91,25.67,64.09,122.04,91.51,121.96,180.26,47.03,26.2,38.58,29.3,149.34,45.06,45.89,45.46,44.7,120.68,119.62,53.9,51.61,89.29,24.65,29.88,62.03,38.69,61.12,122.91,52.06,26.21,462.82
29.58,85.75,55.84,99.06,85.62,45.27,65.1,64.43,51.03,59.78,145.35,67.44,166.04,116.2,86.28,115.22,172.52,62.9,18.62,98.57,41.45,145.16,63.25,63.47,65.51,64.62,113.76,114.31,40.76,133.91,86.03,65.44,41.25,85.24,98.71,86.7,114.88,130.77,20.35,864.97
6.02,88.11,43.83,73.22,67.04,43.56,47.27,66.8,11.81,44.32,108.91,46.63,122.92,88.9,65.78,88.83,133.25,67.24,5.37,74.45,44.52,110.85,64.97,66.86,66.34,67.1,88.88,89.06,9.19,95.52,66.12,48.43,46.08,88.07,73.26,88.7,88.38,97.31,3.46,634.49
16.98,86.45,55.58,55.73,82.61,43.83,35.11,62.47,26.77,55.08,137.52,36.06,90.36,110.18,82.08,110.66,165.68,65.19,11.99,53.79,41.36,139.66,64.94,64.6,64.14,63.31,110.46,109.86,21.67,72.75,82.5,36.83,43.97,84.99,54.11,87.27,111.56,71.98,10.16,533.83
5.31,14.96,18.32,32.2,25.23,8.18,21.35,12.47,10.16,16.97,46.03,21.73,51.69,36.45,26.17,34.79,53.64,8.43,3.6,31.99,7.96,44.44,11.5,11.88,9.45,11.32,36.46,32.96,5.95,42.28,26.08,22.94,6.84,12.8,31.21,16.43,36.53,40.28,3.7,253.24
2.2,82.43,11.01,115.17,19.11,41.54,77.94,63.78,6.35,13.32,31.42,78.21,194.5,25.82,17.95,26.59,37.93,61.81,-0.86,113.41,40.51,32.9,58.81,60.94,62.2,60.86,24.1,26.96,3.65,155.08,19.01,76.77,39.11,82.04,115.44,83.55,24.68,155.06,3.94,876.29
32.13,26.69,22.63,138.65,34.6,13.28,91.63,17.94,53.39,22.94,57.47,91.34,227.8,44.46,33.04,44.19,67.29,19.27,20.61,134.95,14.1,55.88,20.67,21.16,20.57,19.63,44.75,44.32,43.31,182.8,32.63,90.61,12.3,24.86,138.92,25.26,44.69,182.62,20.98,1027.69
20.54,39.35,64.77,51.23,100.11,21.76,34.17,30.21,37.4,68.57,165.47,33.98,86.81,134.19,99.99,135.15,204.46,31.08,14.4,50.87,20.97,167.14,31.77,28.57,30,29.84,134.63,136,29.96,68.39,99.61,34.43,17.94,38.95,50.49,38.56,135.75,69.75,14.93,497.16
6.37,80.38,34.85,44.36,52.08,41.8,30.77,60.54,8.85,36.87,87.78,30.8,73.07,69.85,54.5,68.1,105.88,60.34,1.08,43.57,39.22,86.56,59.21,59.61,60.43,59.78,71.08,69.27,7.18,60,53.94,29.09,39.22,80.88,45.27,80.52,69.93,60.64,4.4,421.13
42.62,77.1,16.96,96.75,25.1,39.55,62.99,56.93,68.98,16.69,42.35,63.03,158.46,34.44,26.39,33.85,48.87,57.49,27.61,94.51,37.28,39.98,60.05,59.26,56.69,56.2,31.18,33.87,54.5,127.8,24.29,62.56,38.42,77.56,94.87,77.97,33.08,127.57,28.47,808.66
15.01,40.08,17.73,126.22,27.34,18.08,84.56,28.91,23.88,17.56,44.45,83.95,209.85,35.25,26.35,36.81,54.92,29.69,8.54,127.61,18.41,43.69,30.63,31.05,30.87,30.81,35.73,36.53,17.7,168.05,27.38,85.83,19.12,39.06,126.81,38.61,37.36,169.95,10.39,932.94
15.41,48.25,52.33,10.71,80.58,23.55,6.65,34.33,23.11,54.55,132.81,7.63,15.84,105.05,81.33,106.23,157.61,35.2,11.21,10.09,23.13,132.84,34.35,34.52,34.9,33.81,106.29,108.21,18.75,13.1,79.78,5.55,22.81,46.22,9.02,47.91,106.69,13.36,10.42,194.51
2.4,12.92,18.12,33.69,26.78,6.56,24.72,9.29,4.69,16.78,44.52,22.99,58.91,35.21,26.8,36.35,50.79,8.67,1.13,35.19,5.42,43.1,9.86,10.36,8.7,10.4,35.67,34.37,4.19,47.23,27.68,22.62,4.91,12.76,34.66,12.58,34.98,44.34,0.54,265.37
27.54,60.4,14.34,79.21,22.14,30.48,54.3,45.73,45.42,15.61,39.85,54.59,133.61,30.31,22.28,31.01,46.68,43.55,17.87,81.45,30.72,39.74,45.06,44.06,43.04,46.14,31.59,31.48,35.2,107.97,22.85,52.43,28.22,59.29,80.31,61.32,30.74,106.9,18.42,666.95
0.93,2.75,46.08,145.19,68.12,-0.25,95.66,2.15,-1.38,44.8,114.8,97.6,242.27,89.49,66.9,90.75,135.8,2.08,0.95,145.47,0.46,113.22,2.43,2.03,2.28,2.03,91.04,93.63,0.57,192.71,66.33,96.35,1.23,1.66,145.53,3.17,92.19,193.21,-0.67,1016.52
42.41,36.23,28.53,20.93,45.64,14.95,14.73,25.6,72.67,32.61,77.63,15.4,35.55,60,45.91,59.68,90.76,24.68,29.41,22.31,17.85,75.42,27.4,26.92,27.07,27.04,59.36,61.89,60.11,29.23,43.93,15.55,16.67,35.47,20.4,37.24,61.02,28.89,28.69,305.04
29.64,5.69,14.23,149.25,20.41,5.62,97.91,3.27,51.26,13.43,35.82,99.14,246.35,26.84,20.07,27.52,40.89,2.42,22.53,147.75,5.12,33.79,3.93,4.42,2.27,2.82,26.53,28.06,39.64,196.9,17.94,98.73,3.03,4.68,148.91,4.62,27.01,199.39,20.69,1068.17
2.34,64.96,24.22,107.51,40.27,29.47,72.14,47.53,4.91,26.45,65.41,72.68,181.36,52.86,39.62,52.34,79.3,48.49,2.84,109.85,30.54,66.95,48.89,47.84,48.56,48.42,52.39,51.24,5.1,146,39,72.23,31.57,64.91,106.64,64.23,52.46,144.46,2.12,815.04
38.84,75.93,35.67,91.26,53.04,36.81,62.8,58.69,63.59,35.89,88.96,62.86,156.56,69.31,55.03,71.01,109,58.1,24.52,93.96,37.12,89.59,56.06,56.32,57.75,57.45,69.82,70.98,52.01,124.2,53.51,61.42,38.45,76.32,92.13,74.35,72.03,122.34,24.43,810.8
41.96,12.84,51.18,111.5,76.35,6.03,71.92,7.19,70.88,50.04,125.76,73.66,182.79,100.77,77.85,99.83,152.09,9.09,29.75,110.68,6.53,127.9,8.65,8.45,9.57,8.44,101.07,102.14,57.65,146.71,75.72,74.44,6.24,11.26,109.13,11.92,100.1,148.16,27.36,882.64
33,29.45,55.54,37.57,83.36,15.62,24.09,21.96,54.4,55.57,138.97,23.55,60.99,112.35,81.71,114.07,168.71,22.94,20.55,34.86,16.4,139.03,24.78,23.03,22.63,23.44,112.26,111.78,41.26,48.12,83.25,24.25,15.63,32.13,34.56,30.03,109.59,47.5,21.07,388.94
27.25,83.99,0.73,62.77,2.2,43.25,44.15,61.54,44.78,2.54,4.5,41.21,103.59,3.85,2.09,4.28,4.26,61.63,17.69,62.01,39.63,4.9,61.37,63.33,63.41,62.24,2.73,2.87,35.71,84.19,2.72,42.94,41.38,83.79,63.91,82.08,3.57,85.65,18.1,564.68
29.16,24.06,67.92,72.95,101.82,11.64,48.64,16.33,47.01,69.05,170.81,47.36,120.18,134.58,101.54,134.93,202.68,17.67,19.31,73.65,11.33,168.41,17.87,19.12,16.53,18.68,134.53,137.02,37.72,97.71,103.44,46.92,10.2,23.81,71,21.9,135.65,95.96,18.3,630.36
20.52,13.22,45.3,93.73,67.82,7.42,62.94,11.24,32.11,46.78,114.9,62.13,156.03,91.32,68.61,91.55,137.65,9.92,14.06,94.83,6.93,113.25,11.73,9.16,9.24,11.18,92.62,90.21,29.22,125.61,68.31,62.87,7.12,11.91,94.28,13.8,90.74,126.72,14.61,730.02
33.55,60.9,56.24,46.94,83.44,32.79,31.24,47.04,49.69,55.27,139.46,29.42,76.32,111.31,83.11,110.4,168.48,43.69,20.75,46.02,31.46,138.81,47.53,45.43,47.6,47.38,110.78,110.78,44.53,61.15,82.26,30.71,32.23,63.29,45.59,61.53,111.9,60.51,21.84,485
9.57,67.83,40.05,125.77,62.39,33.87,82.53,49.72,13.93,40.28,104.61,82.85,209.65,81.29,62.19,82.79,123.53,51.59,4.89,125.96,34.07,103.23,49.59,50.29,50.94,48.67,81.62,82.6,10.97,166.7,63.54,84.47,34.13,65.59,125.8,67.46,83.25,167.28,5.53,958.37
28,93.58,24.17,11.78,37.57,47.78,8.71,71.24,47.43,24.07,62.81,9.01,19.53,51.18,38.3,48.64,72.06,71.55,19.36,12.65,47.16,60.21,71,71.41,70.67,72.36,49.55,49.59,38.22,15.48,37.88,7.44,47.07,95.37,13.9,94.62,49.3,16.59,20.08,258.72
21.45,99.39,21.15,52.53,30.5,47.17,36.53,74.16,38.8,19.7,48.52,36.42,90.17,39.93,29.64,39.21,59.13,72.24,14.25,53.62,51.2,51.24,75.36,76.65,73.45,73.97,39.13,39.67,30.34,71.74,29.7,35.93,51.29,99.03,54.49,98.51,39.59,72.06,15.05,526.74
20.49,60.76,56.87,37.37,84.81,31.85,23.78,45.58,37.49,57.21,140.32,26.91,63.55,114.05,84.14,114.11,169.76,46.89,14.81,37.58,31.28,142.31,46.72,47.95,46.01,46.77,114.49,113.2,27.92,50.02,85.51,25.55,29.44,61.84,37.35,61.63,114.97,50.48,15.04,413.54
20.48,53.84,67.86,119.74,105.08,25.98,79.74,38.59,39.28,70.84,173.03,79.13,202.17,137.85,102.84,139.56,207.25,37.95,17.11,121.26,25.98,172.33,38.16,37.98,38.77,39.78,137.74,138.22,30.85,160.23,105.69,80.89,25.54,51.54,120.43,49.99,137.83,159.99,16.42,973.63
37.81,69.97,39.5,96.39,60.15,36.15,64.34,51.68,62.17,41.62,101.35,65.29,159.71,80.17,63.26,82.43,121.83,52.2,24.73,96.06,32.87,101.53,52.1,51.08,53.36,52.79,79.72,80.87,50.29,127.53,60.1,64.64,34.18,69.81,97.7,69.58,81.64,128.37,25.72,831.21
26.41,8.51,39.61,11.63,60.85,3.4,8.62,7.95,43.22,39.88,100.53,8.47,15.4,82.33,61.71,79.92,123.08,4.54,16.42,10.95,5.26,101.73,5,5.48,5.86,6.33,82.65,81.34,35.19,13.48,59.81,7.89,3.61,8.34,10.44,9.15,82.51,16.04,17.36,168.92
6.13,12.07,69.73,134.57,102.39,7.06,92.05,11.59,11.4,69.76,171.66,90.38,225.61,136.7,103.89,138.16,207.74,11.16,4.09,135.67,6.45,174.23,10.03,10.4,10.93,11.58,135.67,138.06,8.58,178.61,107.46,91.33,7.38,14.02,136.58,14.21,138.33,183.61,3.83,1005.34
18.46,15.63,66.37,26,96.46,5.99,16.97,10.95,30.7,63.52,160.08,18.93,43.22,128.79,95.08,128.92,193.31,9.1,11.91,25.53,7.34,161.19,10.97,12.31,11.45,12.54,128.69,130.25,23.47,35.39,97.2,18.02,6.64,14.34,26.87,14.54,128.64,34.47,13,293.85
6.57,85.54,45.07,41.23,69.08,42.81,27.19,63.45,11.94,43.69,110.18,25.98,71.21,90.18,65.91,89.83,133.84,63.29,5.65,41.03,43.09,110.6,64.81,63.48,62.42,63.21,89.62,89.35,8.12,55.84,67.37,26.56,43.34,86.26,40.16,85.44,90.73,55.15,4.21,419.26
26.23,43.23,19.56,48.38,28.45,22.29,31.16,30.42,41.7,17.97,46.93,31.04,79.36,35.19,28.29,36.58,56.45,33.26,14.87,48.73,23.1,47.77,33.4,32.61,31.4,31.96,36.77,38.91,34.22,64.19,28.68,33,22.01,43.82,48.58,43.14,36.23,65.02,16.17,434.44
15.14,8.79,58.16,133.46,89.3,5.42,87.93,6.88,26.44,59.13,147.68,89.06,222.83,120.19,87.97,119.22,179.11,6.04,11.25,134.18,3.97,148.39,6.95,6.55,7.32,6.9,118.29,118.47,22.11,179.08,88.52,89.34,6.21,10.24,134.37,9.51,118.16,177.33,12.48,995.01
24.19,55.41,52.51,34.71,77.04,28.8,24.19,42.28,39.33,51.23,125.68,24.17,57.4,101.18,74.99,101.16,151.6,41.93,14.36,36.42,30.06,125.09,42,42.26,41.01,41.79,101.21,99.45,29.43,46.68,75.07,22.86,27.47,55.83,35.15,55.57,101.43,47.13,15.69,387.15
33.64,67.99,28.7,147.52,42.05,31.67,98.88,50.44,56.57,28.49,73.37,98.71,247.51,58.06,42.8,55.99,86.98,52.33,24.39,150.1,33.45,71.62,51.15,51.31,51.86,52.34,58.18,59.26,44.38,195.98,43.85,98.75,34.98,68.87,148.76,66.51,57.45,198.03,23.91,1154.89
24.4,50.24,56.22,144.06,80.35,23.59,96.55,36.34,39.39,54.48,134.83,94.75,243.85,108.13,79.57,108.46,162.58,36.24,15.18,144.29,24.73,135.38,38.4,36.23,37.17,37.72,109.55,108.55,31.48,191.39,81.83,96.58,24.81,48.06,144.5,48.99,108.29,192.37,14.2,1112.68
28.77,45.74,36.51,17.55,57.09,22.18,10.36,30.02,49.07,38.11,96.18,10.45,29.17,76.31,58.32,76.5,114.98,29.32,18.66,17.85,22.02,95.61,30.23,32.06,31.71,30.85,75.29,74.34,39.01,23.8,56.99,9.76,19.82,42.92,16.77,43.11,76.01,23.3,18.01,253.04
19.55,29.1,8.55,26.92,14.86,14.02,17.79,22.82,30.38,10.06,23.75,19.4,45.2,18.63,13.75,18.62,27.8,19.31,13.3,30.13,14.36,23.13,22.33,22.74,20.71,20.22,18.9,17.24,25.09,35.28,15.01,19.53,15.04,29.6,27.63,28.48,17.48,36.43,12.81,260.53
15.1,82.94,32.35,28.42,51.6,42.15,18.6,59.71,23.19,33.78,86.5,17.11,47.82,67.5,52.38,68.75,102.25,63.57,8.97,27.57,43.04,86.44,63.42,62.62,62.36,62.84,69.01,68.5,18.06,35.27,50.21,18.75,42.56,84.28,26.09,83.93,67.23,35.61,10.71,326.02
4.13,17.32,34.02,50.34,51.65,8.94,32.82,11.92,7.84,35.2,84.99,33.35,86.43,69.3,50.13,69.37,103.78,11.4,2.41,50.41,6.89,85.51,11.67,12.38,13.43,11.18,68.79,70.28,7.09,68.3,52.12,31.99,8.52,16.15,50.45,16.46,67.35,68.84,2.97,402.8
40.25,5.47,15.42,98.23,22.47,4.2,65.37,4.05,67.64,14.88,35.84,65.74,164.93,29.27,21.95,29.58,44.03,3.42,27.1,101.34,4.08,35.79,6.1,5.15,3.8,6.62,30.55,29.04,54.74,130.16,21.34,65.07,3.32,5.2,100.18,3.83,31.12,131.62,25.33,760.17
11.21,84.58,60.04,45.29,91.2,41.71,31.89,62.11,20.25,59.46,147.44,30.01,77.43,119.82,89.82,121.92,182.08,62.67,8.07,45.85,43.65,150.43,61.94,64.57,62.37,63.51,119.52,120.75,15.19,64.14,90.8,30.31,42.45,82.82,46.47,83.34,119.26,60.15,6.46,473.81
2.83,62.97,58.02,-0.13,84.05,29.13,1.14,45.38,7.67,56.56,141.87,-1.36,0.86,113.17,84.45,115.63,168.93,43.27,1.61,1.07,32.04,142.14,46.53,45.73,44.94,45.93,112.45,115.78,4.84,-0.03,86.5,1.66,31.71,61.41,1.65,62.14,113.22,0.16,3.19,127.4
1.09,47.13,30.03,82.35,45.72,25.57,53.15,34.79,4.33,31.01,74.85,54.5,134.82,58.63,43.59,61,90.49,37.6,-0.65,80.3,20.93,75.44,35.68,35.55,35.18,34.42,61.92,58.25,1.08,109.54,44.4,53.31,23.96,45.44,81.12,47.16,60.87,110.12,0.93,623.88
12.71,16.48,0.55,110.48,1.92,7.94,72.5,13.16,22.06,0.53,1.99,74.44,184.65,1.66,0.48,1.14,2.33,12.23,7.58,111.31,8.26,2.68,11.06,11.22,12.49,12.35,1.41,0.47,17.9,149.01,1.56,74.08,7.27,15.37,112.26,15.81,1.21,147.28,8.14,785.71
39.57,26.9,60.76,58.93,90.09,12.58,40.72,20.12,68.36,60.22,151.72,40.33,101.81,122.29,90.67,122.84,182.55,19.69,28.41,59.1,12.65,153.14,20.3,19.04,21.42,19.84,122.58,121.43,52.61,79.18,93,40.27,11.15,28.13,60.32,28.29,122.8,80,26.11,567.3
1.32,49.95,10.32,144.74,14.91,23.65,96.35,36.9,5.52,9.01,26.65,96.83,243.27,20.2,15.82,19.82,29.54,36,2.16,146.06,25.7,25.41,36.5,38.29,36.71,37.2,19.91,19.1,4.41,194.5,14.53,96.69,24.47,50.08,145.27,49.53,18.36,194.26,1.72,1037.99
0.07,1.9,6.68,50.08,11.81,1.49,33.51,-0.06,0.42,8.39,17.5,34.9,86.42,12.5,10.07,16.23,20.62,0.68,0.28,50.56,1.98,16.77,0.3,1.27,-0.97,2.98,13.21,15.08,0.18,68.42,9.73,34.31,1.15,-0.95,49.75,0.49,14.36,68.91,2.17,347.67
10.75,52.13,3.99,118.46,10.16,27.68,78.26,38.71,16.35,6.21,16.2,78.63,195.69,10.77,8.21,11.72,17.46,38.58,6.61,118.01,26.48,14.15,40.12,39.27,40.02,39.16,12.26,11.83,13.84,156.95,9.08,78.48,24.55,52.51,117.01,51.24,13.1,157.69,6.38,864.2
30.67,26.97,48.39,95.83,70.75,13.98,61.59,19.76,51.31,47.49,120.02,61.54,154.77,95.01,71.07,94.42,142.7,20.45,20.82,93.12,13.99,119.88,19.99,20.07,19.21,19.11,95.14,93.31,40.04,125.12,71.54,61.19,14.21,25.7,93.17,28.82,96.29,124.8,19.46,758.4
1.68,55.31,34.94,104.22,53.42,30.4,70.41,42.01,-0.21,35.86,87.6,71.07,174.54,70.58,53.21,70.07,103.55,42.89,-0.71,106.25,27.85,87.2,42.19,43.79,42.76,41.36,69.21,69.68,1.49,140.39,53.03,70.03,29.87,57.52,103.65,55.78,69.72,139.48,2.24,794.62
38.15,47.34,0.7,50.09,2.7,23.54,34.88,37.51,60.97,4.16,5.5,33.25,81.42,4.24,3.17,4.41,5.88,34.11,25.4,48.56,22.93,6.01,35.36,34.48,33.94,33.14,5.03,3.69,48.91,67.82,1.88,31.98,24.17,46.35,50.37,48.47,4.16,65.66,23.37,454.53
16.95,16.79,66.79,39.85,101.42,9.15,28.07,11.26,26.39,67.03,167.83,27.28,70.39,134,100.07,133.9,203.34,12.76,11.47,43.09,11.08,168.07,13.66,14.03,14.45,12.89,135.54,134.75,22.51,55.16,101.65,28.58,11.29,17.98,42.34,19.01,136.64,54.83,8.9,396.03
14.75,84.41,22.39,142.43,31.3,41.79,94.65,64.27,25.59,21.56,53.45,93.79,234.93,42.13,33.06,42.86,64.01,62.51,8.65,141.91,42.9,53.46,63.57,63.01,64.7,64.95,41.85,43.2,21.64,189.55,31.72,93.83,42.63,84.69,142.14,82.3,42.88,189.24,9.88,1078.75
